,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (5Y Monthly),PE Ratio (TTM),EPS (TTM),Earnings Date,Forward Dividend & Yield,Ex-Dividend Date,1y Target Est,ticker,url,error
0,128.15,128.84,133.26 x 1400,133.66 x 1200,127.92 - 133.75,112.47 - 179.57,"2,827,762","1,913,933",40.168B,1.04,33.93,3.941,2022-05-23 to 2022-05-27,0.84 (0.63%),"Apr 04, 2022",,A,http://finance.yahoo.com/quote/A?p=A,
1,16.96,17.16,17.47 x 1300,17.49 x 28000,16.99 - 17.73,14.91 - 26.09,"43,874,112","40,580,801",11.334B,1.64,N/A,-3.095,2022-04-20 to 2022-04-25,N/A (N/A),"Feb 04, 2020",18.33,AAL,http://finance.yahoo.com/quote/AAL?p=AAL,
2,200.81,201.90,170.00 x 800,205.82 x 1100,200.01 - 206.17,161.19 - 244.55,"681,449","766,933",12.56B,1.25,21.53,9.55,2022-02-14,6.00 (2.92%),"Mar 17, 2022",257.59,AAP,http://finance.yahoo.com/quote/AAP?p=AAP,
3,162.74,163.84,164.40 x 1000,164.45 x 1400,160.87 - 165.04,116.21 - 182.94,"90,795,431","102,408,446",2.69T,1.19,27.41,6.015,2022-04-26 to 2022-05-02,0.88 (0.53%),"Feb 04, 2022",192.96,AAPL,http://finance.yahoo.com/quote/AAPL?p=AAPL,
4,145.27,146.13,149.32 x 800,149.30 x 800,146.05 - 150.36,102.05 - 150.36,"8,178,666","7,830,485",264.499B,0.80,23.18,6.45,2022-04-28 to 2022-05-02,5.64 (3.77%),"Apr 13, 2022",149.75,ABBV,http://finance.yahoo.com/quote/ABBV?p=ABBV,
5,137.86,139.23,122.87 x 1100,143.61 x 1100,139.23 - 142.35,101.84 - 144.22,"1,046,394","1,111,472",29.681B,0.48,18.40,7.712,2022-05-03 to 2022-05-09,1.84 (1.30%),"Feb 11, 2022",153.92,ABC,http://finance.yahoo.com/quote/ABC?p=ABC,
6,306.92,309.46,311.97 x 1200,312.21 x 800,302.83 - 312.42,261.27 - 379.30,"214,853","395,927",14.215B,1.36,107.36,2.909,2022-04-27 to 2022-05-02,N/A (N/A),N/A,365.0,ABMD,http://finance.yahoo.com/quote/ABMD?p=ABMD,
7,118.72,118.72,122.53 x 900,123.09 x 800,118.50 - 122.93,105.36 - 142.60,"5,608,592","6,306,240",215.868B,0.74,31.07,3.94,2022-04-18 to 2022-04-22,1.88 (1.54%),"Apr 13, 2022",143.72,ABT,http://finance.yahoo.com/quote/ABT?p=ABT,
8,316.17,317.33,320.90 x 900,323.59 x 800,316.39 - 323.17,244.44 - 417.37,"2,472,968","2,733,185",203.827B,1.21,33.55,9.613,2022-03-17,3.88 (1.20%),"Jan 12, 2022",,ACN,http://finance.yahoo.com/quote/ACN?p=ACN,
9,463.82,465.39,465.00 x 900,466.50 x 900,456.02 - 468.46,416.81 - 699.54,"2,869,739","3,914,727",219.897B,1.01,46.46,10.02,2022-03-22,N/A (N/A),"Mar 24, 2005",653.93,ADBE,http://finance.yahoo.com/quote/ADBE?p=ADBE,
